DiabetesSTDEV,Lila 1 and 10,pop 2010,Urban,LowIncomeTracts,Average of percent,Average of lower confidence limit,Average of upper confidence limit,Statelist,CONCAT
0,0,211033,1,0,8.3875,7,10.0125,3,110
0,0,195751,1,1,9.025,7.65,10.55,3,111
1,0,19019,1,0,11.7625,9.2,14.875,4,112
0,0,21853,0,1,11.0375,8.5625,13.9375,4,113
0,0,41513,0,0,11,8.7,13.6125,4,114
0,0,221339,1,0,7.7875,6.5375,9.175,4,115
0,0,36903,0,0,10.2625,8.025,12.8875,4,116
1,0,11508,0,1,11.6625,8.9375,14.8875,4,117
0,1,5368,0,1,11.3375,8.525,14.825,4,118
0,0,27446,0,1,9.775,7.4625,12.5375,4,119
1,0,11800,1,1,13.6375,10.8125,16.9875,4,120
0,0,22995,0,1,10.0375,7.7125,12.7875,4,121
0,0,16083,0,1,10.9375,8.125,14.3,4,122
0,0,25970,0,0,11.325,8.675,14.5,4,123
0,0,8689,0,0,11.325,8.5125,14.775,4,124
0,0,24552,0,1,11.5375,9.1,14.3875,4,125
0,0,21273,0,0,10.675,8.2125,13.5875,4,126
0,0,96443,1,0,9.5,7.5875,11.7625,4,127
0,0,61948,1,0,8.65,6.675,10.95,4,128
1,0,50902,1,1,12.55,10.225,15.2625,4,129
0,0,17870,0,1,11.0875,8.5125,14.1625,4,130
1,0,8116,0,0,12.4625,9.5875,15.9125,4,131
1,1,13008,0,1,12.4,9.7125,15.625,4,132
0,0,18509,0,1,10.6,8.15,13.5125,4,133
0,0,113237,1,0,8.6625,6.8625,10.7125,4,134
0,0,18125,0,1,10.65,7.9125,13.9625,4,135
0,1,12245,0,1,11.075,8.2375,14.5125,4,136
0,0,96024,1,0,10.075,8.2875,12.1,4,137
0,0,17853,1,0,9.275,6.8625,12.2625,4,138
0,0,42090,0,0,10.4125,7.9125,13.25,4,139
1,0,22609,0,0,11.8,9.2125,14.875,4,140
0,0,32923,0,0,10.2625,7.975,13.05,4,141
0,1,13789,0,1,10.9625,8.35,14.125,4,142
0,0,36647,0,0,10.025,7.725,12.775,4,143
0,0,13696,0,1,9.8125,7.2875,12.8625,4,144
0,1,17997,0,1,11.1625,8.4625,14.45,4,145
1,0,77435,1,1,12.45,10.425,14.775,4,146
0,1,25540,1,1,9.9125,7.45,12.975,4,147
1,0,7645,0,1,12.475,9.6,15.9,4,148
0,0,17415,0,1,10.7375,7.975,14.075,4,149
0,0,10424,0,1,11.575,9.1125,14.5375,4,150
0,0,14134,0,1,9.7,7.3375,12.6875,4,151
0,0,13171,0,1,11.3,8.6625,14.5,4,152
0,0,22353,0,0,10.3,7.7375,13.4125,4,153
0,0,68356,0,0,9.725,7.55,12.325,4,154
0,1,15717,0,1,10.1625,7.5625,13.375,4,155
0,0,16653,0,0,11.3125,8.6,14.575,4,156
1,0,43462,1,0,11.6125,9.175,14.4125,4,157
0,0,46480,1,1,11.4625,9.1,14.1125,4,158
1,1,8149,0,1,12.3875,9.5625,15.7625,4,159
0,1,9487,0,1,10.4125,7.6625,13.8,4,160
1,0,8997,0,0,12.2125,9.4125,15.6125,4,161
0,1,8330,0,1,11.425,8.425,15.0375,4,162
1,1,26120,1,1,12.15,9.7625,14.9,4,163
0,0,10445,0,0,10.275,7.5375,13.65,4,164
1,1,21757,0,1,13.2375,10.725,16,4,165
0,0,11291,0,1,10.45,7.725,13.75,4,166
0,0,24583,0,1,11.1375,8.4,14.4875,4,167
0,1,20662,0,1,10.25,7.8125,13.0625,4,168
0,1,61754,0,1,9.4875,7.45,11.9,4,169
0,0,8715,0,0,10.8375,8.0625,14.2125,4,170
0,0,382748,1,0,9.5125,8.4,10.675,4,171
